,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
2407,E01002459,Hillingdon 011B,9,40.61,24.42,917,51.0,31,1,41960.0,439500.0
2408,E01002460,Hillingdon 011C,25,81.64,24.83,784,38.2,35,1,48350.0,358483.0
2409,E01002461,Hillingdon 013A,17,32.04,18.87,929,252.5,6,2,48620.0,528333.0
2410,E01002462,Hillingdon 011D,5,32.89,17.37,871,41.7,34,1,47440.0,396650.0
2411,E01002463,Hillingdon 013B,17,33.3,20.01,966,61.7,25,2,49320.0,468833.0
2412,E01002464,Hillingdon 011E,16,39.03,15.87,978,78.2,21,2,40760.0,318083.0
2413,E01002465,Hillingdon 009A,17,42.64,13.56,1033,29.7,55,4,35290.0,211000.0
2414,E01002466,Hillingdon 010B,16,46.27,15.27,1065,23.0,73,1,36540.0,280833.0
2415,E01002467,Hillingdon 009B,10,32.26,26.15,815,36.9,41,3,30080.0,316583.0
2416,E01002468,Hillingdon 010C,14,38.93,11.12,1202,19.7,89,2,31360.0,281408.0
2417,E01002469,Hillingdon 010D,8,35.12,14.07,1099,23.2,72,2,32780.0,291333.0
2418,E01002470,Hillingdon 007D,28,25.91,18.23,1110,38.4,45,2,34480.0,274583.0
2419,E01002471,Hillingdon 008E,26,32.87,14.53,1055,26.5,62,2,31870.0,273500.0
2420,E01002472,Hillingdon 002A,14,38.19,22.04,1057,53.8,30,3,31480.0,263000.0
2421,E01002473,Hillingdon 001A,17,55.11,20.67,1000,388.6,4,1,33170.0,1028333.0
2422,E01002474,Hillingdon 002B,13,47.14,19.81,972,92.2,17,3,33600.0,287833.0
2423,E01002475,Hillingdon 001B,12,39.87,22.86,915,75.6,20,3,32760.0,336900.0
2424,E01002476,Hillingdon 001C,7,43.93,22.81,937,62.2,25,2,31560.0,582500.0
2425,E01002477,Hillingdon 001D,11,46.3,21.72,789,31.6,40,2,31480.0,322250.0
2426,E01002478,Hillingdon 002C,15,35.4,20.12,969,36.6,42,2,31090.0,296167.0
2427,E01002479,Hillingdon 004C,8,45.79,17.36,1082,78.3,22,3,30310.0,316567.0
2428,E01002480,Hillingdon 004D,13,48.57,20.07,1071,63.5,27,2,31870.0,380417.0
2429,E01002481,Hillingdon 004E,13,46.54,15.9,1051,36.7,45,4,31300.0,269667.0
2430,E01002482,Hillingdon 001E,8,42.96,23.01,970,64.1,25,2,31180.0,477083.0
2431,E01002483,Hillingdon 002D,23,42.07,17.98,1107,36.4,49,4,32140.0,310833.0
2432,E01002484,Hillingdon 002E,9,41.64,15.74,936,23.5,61,3,33120.0,293667.0
2433,E01002485,Hillingdon 002F,24,40.99,14.64,1160,30.3,58,4,36390.0,247167.0
2434,E01002486,Hillingdon 028A,34,53.5,7.71,1487,102.3,22,10,32920.0,234992.0
2435,E01002487,Hillingdon 028B,21,40.59,10.26,1214,19.5,96,7,37870.0,245417.0
2436,E01002488,Hillingdon 030B,14,49.38,10.66,1135,30.2,59,6,32490.0,250650.0
2437,E01002489,Hillingdon 030C,23,42.0,8.84,1279,26.9,71,6,36500.0,244500.0
2438,E01002490,Hillingdon 030D,41,43.13,7.79,1479,33.5,66,7,42710.0,235971.0
2439,E01002491,Hillingdon 032D,17,45.75,10.81,1049,19.1,85,9,41720.0,200667.0
2440,E01002492,Hillingdon 030E,34,42.25,8.43,1101,25.3,65,9,43460.0,243158.0
2441,E01002493,Hillingdon 032E,12,45.75,7.14,1138,17.7,106,14,41980.0,203000.0
2442,E01002494,Hillingdon 009C,21,43.16,11.33,1172,265.7,7,4,43600.0,255667.0
2443,E01002495,Hillingdon 010E,12,41.17,8.2,1703,45.3,50,4,41440.0,264583.0
2444,E01002496,Hillingdon 033A,19,70.0,12.83,1243,58.7,32,4,42230.0,220500.0
2445,E01002497,Hillingdon 033B,39,55.25,13.8,1200,67.2,28,5,35750.0,247500.0
2446,E01002498,Hillingdon 033C,18,68.75,18.38,867,39.6,35,3,37310.0,310667.0
2447,E01002499,Hillingdon 033D,28,50.0,14.08,1280,228.5,8,5,36390.0,227833.0
2448,E01002501,Hillingdon 026B,18,39.43,11.04,1141,22.4,77,7,33570.0,284167.0
2449,E01002502,Hillingdon 026C,22,32.07,10.22,1097,19.1,88,8,34170.0,246333.0
2450,E01002503,Hillingdon 027C,18,38.14,7.7,1191,19.2,89,9,35960.0,232667.0
2451,E01002504,Hillingdon 027D,22,25.56,12.41,1437,44.8,50,8,36890.0,272497.0
2452,E01002505,Hillingdon 026D,19,34.62,7.97,1202,70.9,25,11,33680.0,166250.0
2453,E01002506,Hillingdon 027E,24,42.87,8.41,1257,28.5,67,11,48910.0,150000.0
2454,E01002507,Hillingdon 027F,28,37.69,8.9,1141,109.7,16,8,47160.0,238667.0
2455,E01002508,Hillingdon 026E,29,28.11,11.06,1292,35.3,58,12,44840.0,236417.0
2456,E01002509,Hillingdon 017D,18,26.28,16.99,921,45.5,31,4,41990.0,325833.0
2457,E01002511,Hillingdon 017E,13,29.96,14.79,986,24.4,63,5,47940.0,243667.0
2458,E01002512,Hillingdon 013C,18,15.04,21.09,1134,118.9,15,1,48530.0,320821.0
2459,E01002513,Hillingdon 013D,16,26.8,21.23,878,56.7,24,1,42010.0,432167.0
2460,E01002514,Hillingdon 015C,25,4.31,12.83,1373,28.5,69,3,47240.0,223467.0
2461,E01002515,Hillingdon 015D,21,11.68,11.89,1209,62.4,28,4,41970.0,208483.0
2462,E01002516,Hillingdon 013E,14,27.4,18.22,945,58.7,26,2,37550.0,444167.0
2463,E01002518,Hillingdon 022C,12,32.77,13.13,1002,23.0,60,3,36330.0,258917.0
2464,E01002519,Hillingdon 022D,24,62.0,15.65,1047,63.6,24,5,37370.0,157750.0
2465,E01002520,Hillingdon 016B,27,18.03,7.55,1168,50.6,31,8,35860.0,211667.0
2466,E01002521,Hillingdon 016C,43,6.29,15.17,1257,54.2,34,5,33900.0,171167.0
2467,E01002523,Hillingdon 016D,26,13.23,8.07,1251,16.8,102,4,34700.0,255666.0
2468,E01002525,Hillingdon 029B,13,60.25,16.87,1093,51.0,32,3,31440.0,251167.0
2469,E01002526,Hillingdon 028C,23,62.75,7.53,1309,29.8,67,9,34960.0,229417.0
2470,E01002527,Hillingdon 031D,18,66.0,16.71,965,87.6,17,6,33190.0,225083.0
2471,E01002528,Hillingdon 028D,10,64.0,12.17,1102,35.0,49,9,32990.0,226833.0
2472,E01002529,Hillingdon 029C,36,59.5,7.55,1531,25.7,86,8,32680.0,216833.0
2473,E01002530,Hillingdon 029D,15,60.75,12.61,1004,26.8,62,12,38470.0,205417.0
2474,E01002531,Hillingdon 029E,19,61.0,17.64,1082,34.2,47,3,39550.0,276667.0
2475,E01002532,Hillingdon 028E,36,45.82,5.05,1765,58.9,44,8,39650.0,208676.0
2476,E01002533,Hillingdon 005A,10,41.15,9.6,981,133.6,11,4,37820.0,262167.0
2477,E01002534,Hillingdon 005B,4,34.58,21.48,864,40.9,36,2,35710.0,356083.0
2478,E01002535,Hillingdon 007E,37,23.32,19.47,1218,40.9,44,1,35230.0,273500.0
2479,E01002536,Hillingdon 009D,22,36.2,14.17,963,39.1,37,2,36000.0,230500.0
2480,E01002537,Hillingdon 009E,15,33.64,15.29,1013,45.2,34,2,33050.0,372500.0
2481,E01002538,Hillingdon 005C,11,44.44,20.69,1004,102.0,15,2,47700.0,251833.0
2482,E01002539,Hillingdon 005D,7,37.51,22.72,935,37.2,43,2,47110.0,435333.0
2483,E01002540,Hillingdon 020C,14,44.43,8.22,1076,22.6,74,7,45130.0,191000.0
2484,E01002541,Hillingdon 023A,16,36.11,9.0,1373,38.2,52,4,48800.0,214917.0
2485,E01002542,Hillingdon 020D,29,40.93,7.66,1208,17.7,106,11,47880.0,193942.0
2486,E01002543,Hillingdon 020E,28,40.5,8.68,1071,27.4,63,11,47540.0,190333.0
2487,E01002544,Hillingdon 023B,15,32.94,8.9,1217,61.9,29,4,44590.0,241667.0
2488,E01002545,Hillingdon 023C,17,35.18,4.99,980,28.3,54,20,40040.0,240500.0
2489,E01002546,Hillingdon 023D,16,36.23,7.34,1106,19.1,85,3,42710.0,242167.0
2490,E01002547,Hillingdon 023E,10,29.54,7.05,1084,18.0,90,13,41060.0,218667.0
2491,E01002548,Hillingdon 025A,26,39.6,13.84,1007,115.2,15,9,42900.0,229167.0
2492,E01002549,Hillingdon 025B,17,26.7,12.27,1195,60.4,29,5,42800.0,242000.0
2493,E01002550,Hillingdon 022E,14,43.29,6.76,1302,24.5,74,8,42100.0,140833.0
2494,E01002551,Hillingdon 025C,13,35.26,11.7,1310,31.8,60,7,43040.0,231650.0
2495,E01002552,Hillingdon 025D,13,45.55,9.1,1108,26.0,64,8,41550.0,244000.0
2496,E01002553,Hillingdon 025E,26,33.65,10.44,1147,18.9,91,9,53120.0,217000.0
2497,E01002554,Hillingdon 022F,61,65.0,4.32,2055,124.5,23,8,42590.0,200658.0
2498,E01002555,Hounslow 022A,15,48.33,10.72,1372,71.8,28,5,43580.0,211833.0
2499,E01002556,Hounslow 022B,16,42.6,13.52,1079,20.1,85,5,51010.0,213167.0
2500,E01002557,Hounslow 023A,25,45.43,16.3,1181,33.8,53,5,46520.0,214833.0
2501,E01002558,Hounslow 023B,18,47.03,9.57,1390,23.5,89,7,43260.0,195333.0
2502,E01002559,Hounslow 023C,31,55.0,8.36,1595,237.8,10,7,39930.0,195583.0
2503,E01002560,Hounslow 023D,14,42.2,15.98,1092,33.3,50,6,44630.0,235833.0
2504,E01002561,Hounslow 023E,4,45.99,4.37,949,24.4,58,12,39500.0,134167.0
2505,E01002562,Hounslow 003A,22,24.17,12.79,967,95.3,15,6,48020.0,385000.0
2506,E01002563,Hounslow 006A,26,31.19,16.07,1124,50.4,32,2,40450.0,440417.0
2507,E01002564,Hounslow 003B,29,29.28,10.11,1288,24.0,79,7,39680.0,322833.0
2508,E01002565,Hounslow 006B,29,33.51,8.31,2273,45.1,63,2,38480.0,276833.0
2509,E01002566,Hounslow 003C,30,29.2,7.9,1512,58.8,37,8,32800.0,402500.0
2510,E01002567,Hounslow 006C,13,26.49,10.15,1259,21.9,78,3,31610.0,291000.0
2511,E01002568,Hounslow 003D,11,32.44,9.09,2009,19.9,146,11,33490.0,260833.0
2512,E01002569,Hounslow 001A,23,13.53,13.36,1282,20.6,87,2,32930.0,663500.0
2513,E01002570,Hounslow 001B,20,11.26,10.51,1250,14.5,117,2,32670.0,817750.0
2514,E01002571,Hounslow 007A,14,17.84,13.73,908,19.9,67,1,30960.0,586667.0
2515,E01002572,Hounslow 007B,18,31.62,11.62,1073,91.0,18,8,32960.0,314250.0
2516,E01002573,Hounslow 001C,17,15.05,11.97,1077,18.4,87,2,30630.0,784833.0
2517,E01002574,Hounslow 001D,16,15.5,11.07,1096,16.3,94,3,39160.0,512521.0
2518,E01002575,Hounslow 001E,25,13.8,11.2,1178,22.7,76,2,42240.0,798333.0
2519,E01002576,Hounslow 008A,24,23.04,10.66,1172,18.6,94,5,37430.0,510500.0
2520,E01002577,Hounslow 007C,20,17.58,10.05,1156,35.5,46,3,37640.0,587000.0
2521,E01002578,Hounslow 007D,26,24.71,15.54,987,50.5,30,2,40050.0,829158.0
2522,E01002579,Hounslow 008B,37,30.37,17.45,1156,40.4,43,2,37760.0,377500.0
2523,E01002580,Hounslow 008C,26,27.33,12.43,932,11.8,114,4,32690.0,521000.0
2524,E01002581,Hounslow 008D,24,26.73,10.54,1329,18.4,100,3,31140.0,325650.0
2525,E01002582,Hounslow 008E,22,24.47,11.68,1128,17.1,98,2,30820.0,682567.0
2526,E01002583,Hounslow 013A,29,36.75,10.4,1170,40.4,42,6,32590.0,213667.0
2527,E01002584,Hounslow 013B,33,33.0,9.12,1208,32.8,53,6,29420.0,238667.0
2528,E01002585,Hounslow 013C,20,31.5,9.26,1185,20.9,80,8,29200.0,252167.0
2529,E01002586,Hounslow 013D,19,41.75,10.72,1219,42.7,40,5,32140.0,255500.0
2530,E01002587,Hounslow 016A,17,35.35,13.67,1283,22.5,84,5,29130.0,231500.0
2531,E01002588,Hounslow 016B,21,36.59,9.35,1128,14.2,125,13,41490.0,199500.0
2532,E01002589,Hounslow 013E,20,36.77,8.28,1435,98.7,22,8,37470.0,218000.0
2533,E01002590,Hounslow 022C,17,44.01,12.09,1309,35.2,55,6,45640.0,227500.0
2534,E01002591,Hounslow 024A,16,41.96,14.14,1154,32.6,54,5,44420.0,224917.0
2535,E01002592,Hounslow 022D,43,47.03,14.01,1334,172.3,12,8,39940.0,188667.0
2536,E01002593,Hounslow 024B,34,38.42,17.09,1420,44.5,48,2,38150.0,223367.0
2537,E01002594,Hounslow 024C,45,39.81,11.55,1344,26.7,77,5,46240.0,233333.0
2538,E01002595,Hounslow 022E,24,37.48,11.08,1328,27.1,73,7,36770.0,229000.0
2539,E01002596,Hounslow 027A,17,46.41,2.74,1381,46.1,42,8,32560.0,138667.0
2540,E01002598,Hounslow 025B,18,42.36,7.74,1268,22.5,82,10,35600.0,221833.0
2541,E01002599,Hounslow 025C,23,38.72,8.86,1081,18.3,89,10,33170.0,204900.0
2542,E01002600,Hounslow 025D,9,41.34,10.56,1011,15.9,97,7,35760.0,222250.0
2543,E01002601,Hounslow 027B,27,53.48,6.49,1300,156.6,12,6,35960.0,207667.0
2544,E01002602,Hounslow 027C,15,54.5,12.07,982,21.0,72,2,31610.0,223749.0
2545,E01002603,Hounslow 025E,17,42.07,6.39,1308,22.3,89,7,33820.0,211750.0
2546,E01002604,Hounslow 026A,10,41.9,6.85,1104,30.0,58,16,31040.0,190083.0
2547,E01002605,Hounslow 026B,20,31.15,13.49,1199,32.8,58,7,34400.0,185167.0
2548,E01002606,Hounslow 026C,7,32.93,9.95,1094,20.6,81,9,29950.0,189167.0
2549,E01002607,Hounslow 026D,25,32.36,9.31,1319,34.4,58,8,35290.0,202833.0
2550,E01002608,Hounslow 028A,13,34.43,11.12,1098,34.6,50,9,31740.0,232250.0
2551,E01002609,Hounslow 028B,16,30.53,14.14,1155,21.3,81,3,39650.0,228833.0
2552,E01002610,Hounslow 028C,24,39.36,13.66,984,151.4,11,10,42820.0,231492.0
2553,E01002611,Hounslow 024D,27,34.4,11.15,1164,86.2,20,5,44210.0,224492.0
2554,E01002612,Hounslow 024E,9,27.51,12.49,1112,33.2,51,7,43250.0,225167.0
2555,E01002613,Hounslow 024F,21,28.7,11.71,1219,22.4,79,5,44200.0,233833.0
2556,E01002614,Hounslow 027D,20,47.12,9.85,1318,59.6,32,7,39940.0,203583.0
2557,E01002615,Hounslow 026E,17,33.86,11.02,1005,95.0,16,10,42670.0,217542.0
2558,E01002616,Hounslow 027E,22,41.83,14.91,889,22.7,61,3,31670.0,236167.0
2559,E01002617,Hounslow 028D,21,40.28,13.87,1065,45.1,35,3,36890.0,197000.0
2560,E01002618,Hounslow 011A,28,24.25,12.87,1216,23.1,76,4,30660.0,305317.0
2561,E01002619,Hounslow 010A,18,29.8,13.9,1330,23.7,82,4,31100.0,280333.0
2562,E01002620,Hounslow 004A,22,30.75,9.45,1226,30.4,62,10,36380.0,191833.0
2563,E01002621,Hounslow 011B,34,17.5,9.01,1271,28.4,63,6,31860.0,272667.0
2564,E01002622,Hounslow 010B,32,28.72,10.84,1192,20.6,83,5,34360.0,279667.0
2565,E01002623,Hounslow 011C,27,24.11,10.68,1158,20.1,84,8,33130.0,254650.0
2566,E01002624,Hounslow 017A,16,19.84,9.42,1079,22.3,70,5,31120.0,198333.0
2567,E01002625,Hounslow 004B,16,37.08,11.3,1144,19.6,85,5,34830.0,295075.0
2568,E01002626,Hounslow 004C,19,34.91,11.64,1148,35.0,47,4,32370.0,292000.0
2569,E01002627,Hounslow 004D,9,31.22,9.17,1111,12.5,135,9,32180.0,188150.0
2570,E01002628,Hounslow 011D,23,22.96,11.55,1386,35.5,56,5,32310.0,264167.0
2571,E01002629,Hounslow 011E,18,13.53,12.27,1451,53.7,41,6,31640.0,239583.0
2572,E01002630,Hounslow 012A,26,17.84,10.52,1251,23.5,75,5,33670.0,259167.0
2573,E01002631,Hounslow 004E,11,34.34,8.17,1136,20.7,80,8,39480.0,178333.0
2574,E01002632,Hounslow 010C,11,36.93,11.98,1233,36.7,50,6,34680.0,320917.0
2575,E01002633,Hounslow 005A,34,41.75,9.61,1102,98.9,17,11,37440.0,204333.0
2576,E01002634,Hounslow 005B,14,37.25,7.72,1091,24.2,72,17,34030.0,182167.0
2577,E01002635,Hounslow 010D,22,38.35,11.73,1222,53.0,33,5,33460.0,235417.0
2578,E01002636,Hounslow 010E,15,35.01,12.07,1385,21.0,98,7,31880.0,282417.0
2579,E01002637,Hounslow 005C,11,51.88,9.23,1116,69.4,24,9,31570.0,192833.0
2580,E01002638,Hounslow 005D,18,40.43,9.82,1172,79.8,23,11,32180.0,218833.0
2581,E01002639,Hounslow 012B,12,14.65,11.99,1250,19.1,90,3,31250.0,316498.0
2582,E01002640,Hounslow 012C,16,9.27,9.79,1380,22.4,83,3,29920.0,242750.0
2583,E01002641,Hounslow 018A,14,6.46,10.65,1398,20.4,97,4,34090.0,243000.0
2584,E01002642,Hounslow 015A,51,11.75,8.62,1567,26.4,85,5,38990.0,204550.0
2585,E01002643,Hounslow 015B,16,18.57,15.38,1536,32.4,72,4,33840.0,229325.0
2586,E01002645,Hounslow 015C,31,7.85,10.14,1520,25.9,81,4,36890.0,244500.0
2587,E01002646,Hounslow 017B,16,12.68,8.17,1351,14.4,142,11,33540.0,205665.0
2588,E01002647,Hounslow 021A,24,18.58,7.82,1470,17.5,128,9,38850.0,220083.0
2589,E01002648,Hounslow 018C,18,7.35,7.81,1993,23.2,120,6,32140.0,214000.0
2590,E01002649,Hounslow 018D,27,10.5,6.64,1425,20.5,94,6,50690.0,232667.0
2591,E01002650,Hounslow 021B,15,29.16,6.16,1633,170.7,15,10,49980.0,200833.0
2592,E01002651,Hounslow 021C,17,13.87,10.29,1249,13.1,137,5,50190.0,251750.0
2593,E01002652,Hounslow 021D,19,18.17,10.09,1265,19.3,93,5,37490.0,319583.0
2594,E01002653,Hounslow 019A,15,15.55,12.11,1266,21.5,84,2,54940.0,313333.0
2595,E01002654,Hounslow 019B,20,21.64,10.87,1242,42.6,42,2,49910.0,247483.0
2596,E01002655,Hounslow 019C,16,13.35,11.96,1367,25.4,78,3,52830.0,281983.0
2597,E01002656,Hounslow 019D,18,23.2,15.33,898,20.7,65,2,44510.0,307542.0
2598,E01002657,Hounslow 018E,19,15.26,11.77,1263,23.3,81,3,48750.0,290817.0
2599,E01002658,Hounslow 015D,12,23.81,13.86,907,17.5,78,2,50530.0,350667.0
2600,E01002659,Hounslow 019E,15,20.23,14.34,958,28.4,51,4,47370.0,281825.0
2601,E01002660,Hounslow 016C,14,21.84,9.5,1282,26.8,65,3,44260.0,268667.0
2602,E01002661,Hounslow 016D,42,28.0,12.46,1333,28.0,66,2,46230.0,278333.0
2603,E01002662,Hounslow 017C,37,9.57,10.13,1582,24.5,85,3,49770.0,311667.0
2604,E01002663,Hounslow 017D,15,16.52,12.66,1434,17.3,124,5,33450.0,211575.0
2605,E01002664,Hounslow 017E,17,10.86,9.74,1468,26.1,86,5,31240.0,232083.0
2606,E01002665,Hounslow 016E,7,22.65,11.77,1111,13.9,117,7,31050.0,173333.0
2607,E01002666,Hounslow 021E,24,28.14,9.03,1220,25.4,64,7,32630.0,247499.0
2608,E01002667,Hounslow 020A,20,31.0,11.82,1156,31.3,53,6,31190.0,353833.0
2609,E01002668,Hounslow 014A,19,33.55,11.72,1418,34.3,59,3,28430.0,248333.0
2610,E01002669,Hounslow 014B,12,27.56,8.72,1191,30.9,57,10,31190.0,236167.0
2611,E01002670,Hounslow 020B,20,26.9,11.35,1222,44.3,40,5,33680.0,275167.0
2612,E01002671,Hounslow 020C,19,23.47,12.33,1132,24.0,70,5,32800.0,380817.0
2613,E01002672,Hounslow 020D,11,18.63,9.0,1158,26.4,61,6,31960.0,196000.0
2614,E01002673,Hounslow 020E,5,19.79,6.75,1033,5.5,297,16,33830.0,161000.0
2615,E01002674,Hounslow 012D,17,23.49,12.84,1216,28.5,63,2,33840.0,322833.0
2616,E01002675,Hounslow 009A,22,33.53,9.69,1735,30.1,85,5,32460.0,371000.0
2617,E01002676,Hounslow 012E,24,26.75,17.91,1148,95.3,18,3,33920.0,485833.0
2618,E01002677,Hounslow 015E,26,25.04,8.14,1162,23.3,68,5,31590.0,288250.0
2619,E01002678,Hounslow 009B,40,58.88,12.83,1297,369.4,5,3,32390.0,355833.0
2620,E01002679,Hounslow 009C,23,45.42,13.11,1242,46.3,39,4,32370.0,271083.0
2621,E01002680,Hounslow 009D,19,29.57,11.6,1383,40.9,48,3,35200.0,291067.0
2622,E01002681,Hounslow 014C,18,34.45,6.45,1529,31.1,67,8,36560.0,237417.0
2623,E01002682,Hounslow 014D,24,24.07,9.58,1680,43.3,55,5,33960.0,260908.0
2624,E01002683,Hounslow 014E,21,32.89,8.68,1829,25.1,106,4,29160.0,307500.0
2625,E01002684,Hounslow 006D,49,27.22,10.76,1732,39.7,60,4,30330.0,299167.0
2626,E01002686,Hounslow 006E,12,28.16,11.68,1164,98.6,17,8,28150.0,260167.0
2627,E01002687,Hounslow 029A,24,18.18,10.43,1350,17.7,100,1,32020.0,357833.0
2628,E01002689,Hounslow 007E,13,11.26,14.78,1085,13.9,115,4,32200.0,712417.0
2629,E01002690,Hounslow 007F,15,13.1,11.18,1033,18.0,82,4,34630.0,915833.0
2630,E01002691,Hounslow 029B,28,18.05,13.57,1104,51.0,31,3,32320.0,458333.0
2631,E01002692,Hounslow 029C,34,21.17,9.03,1362,32.6,56,4,34510.0,434167.0
2632,E01002693,Hounslow 029D,12,9.46,20.89,1135,20.5,84,2,33560.0,410500.0
2633,E01002694,Islington 019A,5,4.86,9.05,1046,7.0,220,15,33960.0,317833.0
2634,E01002695,Islington 021A,17,1.5,10.64,1379,11.8,154,6,35390.0,370667.0
2635,E01002696,Islington 020A,29,4.52,9.66,1469,14.8,127,4,30540.0,490667.0
2636,E01002697,Islington 019B,1,4.3,9.47,1587,11.1,192,8,34960.0,308667.0
2637,E01002698,Islington 017A,16,17.1,6.1,1796,11.0,202,5,37370.0,457083.0
2638,E01002699,Islington 017B,7,13.41,9.78,1225,9.2,171,4,37500.0,624342.0
2639,E01002700,Islington 017C,20,9.96,12.63,1103,18.0,84,3,34000.0,987917.0
2640,E01002701,Islington 023A,19,7.82,12.16,1210,8.3,199,7,31940.0,415833.0
2641,E01002702,Islington 023B,29,7.74,5.93,1541,11.6,175,9,33590.0,403583.0
2642,E01002703,Islington 023C,11,10.99,7.54,1335,8.6,217,8,35060.0,410500.0
2643,E01002704,Islington 023D,49,14.55,10.02,1676,33.5,67,5,33350.0,510000.0
2644,E01002706,Islington 023E,19,10.5,8.81,1474,13.6,149,8,31600.0,430008.0
2645,E01002707,Islington 022B,24,10.69,8.17,1504,11.9,154,4,32870.0,446667.0
2646,E01002708,Islington 015A,11,19.78,8.23,1641,33.7,62,9,33450.0,327450.0
2647,E01002709,Islington 019C,8,12.42,11.73,1293,8.0,220,8,31030.0,328667.0
2648,E01002710,Islington 019D,12,9.09,10.65,1158,13.9,119,9,35490.0,397958.0
2649,E01002711,Islington 021B,44,9.6,4.61,1663,15.1,130,4,35240.0,488192.0
2650,E01002712,Islington 015B,4,18.25,4.93,1633,11.5,168,6,37110.0,396250.0
2651,E01002713,Islington 015C,16,22.05,17.55,1038,14.3,110,8,32410.0,249167.0
2652,E01002714,Islington 017D,15,12.97,6.9,1386,11.5,153,3,34470.0,441667.0
2653,E01002715,Islington 019E,4,14.32,8.87,1061,5.8,267,11,27830.0,264000.0
2654,E01002716,Islington 014A,25,23.04,10.2,1654,13.1,177,12,26630.0,283333.0
2655,E01002717,Islington 016A,14,27.07,11.86,938,12.4,103,5,33150.0,446833.0
2656,E01002718,Islington 014B,20,25.43,9.13,1352,9.9,172,2,32880.0,484000.0
2657,E01002719,Islington 016B,19,22.67,12.71,1112,14.6,104,4,27470.0,535017.0
2658,E01002720,Islington 016C,28,25.64,7.08,1648,10.1,233,16,29300.0,299667.0
2659,E01002721,Islington 014C,16,21.85,8.08,1300,12.1,139,7,37340.0,465500.0
2660,E01002722,Islington 018A,14,21.55,10.88,989,8.5,158,8,36810.0,468167.0
2661,E01002723,Islington 022C,16,11.91,9.2,1237,10.3,161,6,34810.0,355325.0
2662,E01002724,Islington 022D,73,13.02,5.52,1919,26.4,82,2,34800.0,542517.0
2663,E01002725,Islington 022E,7,12.31,9.7,1141,6.1,248,7,34900.0,512500.0
2664,E01002726,Islington 022F,32,11.86,7.27,1327,16.9,103,7,33940.0,438150.0
2665,E01002727,Islington 021C,36,6.83,9.43,1290,11.6,141,5,29990.0,582500.0
2666,E01002728,Islington 021D,28,5.21,5.85,1517,9.1,195,6,33120.0,420167.0
2667,E01002729,Islington 021E,29,7.06,12.05,1198,13.2,121,3,33590.0,542427.0
2668,E01002730,Islington 007A,34,15.4,8.91,1407,14.1,127,5,33640.0,320613.0
2669,E01002731,Islington 007B,35,11.05,5.82,2148,17.5,151,5,32950.0,290333.0
2670,E01002732,Islington 005A,23,14.72,8.06,1385,13.6,138,9,33680.0,264158.0
2671,E01002733,Islington 007C,15,12.96,8.24,1082,8.9,154,4,33910.0,333333.0
2672,E01002734,Islington 005B,30,16.0,5.33,1194,11.8,156,14,38150.0,241650.0
2673,E01002735,Islington 003A,39,17.73,6.37,1323,10.8,158,6,38620.0,284582.0
2674,E01002736,Islington 005C,9,14.38,17.76,914,7.3,212,12,39160.0,263083.0
2675,E01002737,Islington 005D,21,12.6,8.36,1303,7.7,258,15,39370.0,274167.0
2676,E01002738,Islington 009A,14,25.06,11.39,1306,25.5,72,5,40390.0,458333.0
2677,E01002739,Islington 013A,22,23.22,10.47,1341,11.7,157,3,42320.0,572500.0
2678,E01002740,Islington 013B,29,26.19,7.07,1460,22.2,88,2,37860.0,609167.0
2679,E01002741,Islington 009B,12,19.46,10.64,1030,10.6,143,9,32770.0,263083.0
2680,E01002742,Islington 006A,19,21.57,9.44,1206,10.7,153,3,32930.0,577333.0
2681,E01002743,Islington 009C,20,18.65,11.52,1161,9.7,171,8,35380.0,417576.0
2682,E01002744,Islington 009D,13,21.67,8.49,1121,9.9,148,2,31050.0,400583.0
2683,E01002745,Islington 013C,15,22.0,9.34,1089,10.7,134,4,33060.0,481043.0
2684,E01002747,Islington 006B,21,18.83,8.56,1260,10.3,163,3,30520.0,632000.0
2685,E01002748,Islington 006C,13,16.62,6.56,1094,14.1,106,9,32680.0,321667.0
2686,E01002749,Islington 006D,12,19.93,7.13,914,8.3,158,11,37470.0,450833.0
2687,E01002751,Islington 005E,14,16.74,8.54,1250,7.8,226,9,37960.0,286500.0
2688,E01002752,Islington 009E,18,21.21,8.02,1133,9.0,173,8,32400.0,395000.0
2689,E01002753,Islington 002A,2,19.26,9.65,1059,8.1,174,6,35690.0,266200.0
2690,E01002754,Islington 002B,18,27.08,9.87,1097,12.3,127,5,37590.0,721250.0
2691,E01002755,Islington 001A,8,23.51,11.89,919,9.8,136,10,32260.0,295250.0
2692,E01002756,Islington 001B,8,23.69,8.0,1028,11.5,116,4,27960.0,355917.0
2693,E01002757,Islington 002C,16,26.16,7.69,1000,9.1,159,11,41820.0,572825.0
2694,E01002758,Islington 001C,9,20.94,5.8,1122,11.9,133,13,42030.0,240500.0
2695,E01002759,Islington 002D,19,25.08,13.01,1151,10.6,153,4,43140.0,442475.0
2696,E01002760,Islington 002E,5,20.39,10.11,1017,9.0,167,14,38350.0,243333.0
2697,E01002762,Islington 011C,32,20.17,8.91,1587,16.0,125,4,41840.0,377500.0
