,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
1527,E01001550,Enfield 006E,20,38.1,9.57,1066,21.8,76,14,41410.0,220333.0
1528,E01001551,Enfield 002E,14,71.25,16.35,1079,30.6,58,13,32790.0,205167.0
1529,E01001552,Enfield 001D,24,61.25,16.06,1144,28.1,64,6,33450.0,235333.0
1530,E01001553,Enfield 037B,18,29.9,8.29,1025,20.1,82,16,38880.0,212083.0
1531,E01001554,Enfield 037C,42,19.41,7.41,1231,12.1,154,15,48970.0,123750.0
1532,E01001555,Enfield 033C,22,18.12,9.52,1202,14.0,132,10,47650.0,201333.0
1533,E01001556,Enfield 035E,28,29.4,13.47,1064,21.7,74,6,47590.0,283000.0
1534,E01001557,Enfield 033D,8,19.26,8.63,1026,12.9,125,12,41530.0,203500.0
1535,E01001558,Enfield 033E,20,13.82,6.94,1004,14.9,112,18,44910.0,208500.0
1536,E01001559,Enfield 033F,36,24.92,9.78,1337,92.2,23,14,42590.0,187000.0
1537,E01001560,Enfield 035F,21,28.59,10.18,1104,26.4,61,11,39210.0,243316.0
1538,E01001562,Enfield 037D,17,23.42,7.81,1210,14.3,126,14,42210.0,123933.0
1539,E01001563,Enfield 029C,15,31.47,11.72,1153,19.5,85,4,41310.0,273417.0
1540,E01001564,Enfield 022B,22,35.34,13.73,1107,23.1,72,2,40740.0,354908.0
1541,E01001565,Enfield 029D,15,36.59,16.86,1117,22.3,76,3,43200.0,305998.0
1542,E01001566,Enfield 029E,19,31.09,14.02,1175,19.9,85,2,37370.0,268000.0
1543,E01001567,Enfield 022C,17,36.79,18.77,978,31.0,51,1,42250.0,460167.0
1544,E01001568,Enfield 022D,24,41.97,19.35,1003,89.8,18,2,42440.0,667083.0
1545,E01001569,Enfield 022E,33,36.67,14.13,1218,29.4,61,2,27490.0,359833.0
1546,E01001570,Enfield 026E,28,27.9,13.99,1208,40.7,46,5,31840.0,341667.0
1547,E01001571,Greenwich 008A,16,18.27,8.53,1158,14.8,113,7,30270.0,183833.0
1548,E01001572,Greenwich 008B,6,24.26,9.51,1174,16.8,105,5,30350.0,182749.0
1549,E01001573,Greenwich 008C,14,13.83,8.94,1020,13.8,110,6,26150.0,195750.0
1550,E01001574,Greenwich 008D,9,22.67,8.51,1150,100.5,18,15,29910.0,150333.0
1551,E01001575,Greenwich 003A,14,27.91,8.88,1062,21.9,80,14,28990.0,153167.0
1552,E01001576,Greenwich 003B,6,21.16,11.53,1056,23.9,74,15,33280.0,150250.0
1553,E01001577,Greenwich 003C,16,24.4,10.52,1137,21.1,90,12,27550.0,160833.0
1554,E01001578,Greenwich 003D,26,24.22,7.6,1426,27.2,79,10,25700.0,148667.0
1555,E01001579,Greenwich 003E,21,15.02,11.72,1009,25.3,65,11,29820.0,176500.0
1556,E01001580,Greenwich 021A,24,29.68,11.72,1223,29.8,55,2,33240.0,401667.0
1557,E01001581,Greenwich 016A,23,34.83,16.73,1169,20.9,82,3,31240.0,351000.0
1558,E01001582,Greenwich 021B,17,36.55,17.2,922,34.2,43,5,28570.0,287500.0
1559,E01001583,Greenwich 021C,17,33.58,13.08,1186,29.3,55,3,29830.0,293750.0
1560,E01001584,Greenwich 021D,18,27.29,21.45,972,32.8,47,1,31500.0,435000.0
1561,E01001585,Greenwich 016B,10,29.71,12.01,998,17.9,83,2,26830.0,389000.0
1562,E01001586,Greenwich 016C,16,32.13,18.95,979,21.4,71,5,41300.0,259082.0
1563,E01001587,Greenwich 016D,18,26.39,12.46,1456,27.4,73,2,47800.0,359167.0
1564,E01001588,Greenwich 012A,21,27.73,17.78,1055,52.1,33,6,41620.0,263333.0
1565,E01001589,Greenwich 012B,13,32.58,9.36,1187,21.1,78,6,44970.0,234833.0
1566,E01001590,Greenwich 014A,13,36.15,8.66,1294,15.6,115,5,48920.0,329833.0
1567,E01001591,Greenwich 012C,12,37.86,10.12,1361,20.2,103,10,50130.0,220083.0
1568,E01001592,Greenwich 014B,14,35.87,8.93,1248,23.9,73,3,45950.0,298333.0
1569,E01001593,Greenwich 014C,13,33.62,11.5,1192,18.6,91,3,39940.0,352667.0
1570,E01001594,Greenwich 014D,9,37.16,7.9,1309,15.0,135,14,29630.0,189083.0
1571,E01001595,Greenwich 012D,23,29.41,11.19,1253,37.0,54,13,27680.0,255333.0
1572,E01001596,Greenwich 032A,14,43.18,20.15,943,29.3,52,1,31870.0,265165.0
1573,E01001597,Greenwich 031A,24,34.24,17.48,1002,32.4,48,3,32550.0,270833.0
1574,E01001598,Greenwich 031B,29,37.78,19.67,1031,46.5,34,2,26340.0,285833.0
1575,E01001599,Greenwich 032B,20,41.8,16.6,1076,45.4,37,3,35220.0,271167.0
1576,E01001600,Greenwich 032C,17,33.34,14.29,1081,30.3,52,4,35630.0,249500.0
1577,E01001601,Greenwich 032D,10,34.77,19.82,954,24.2,63,1,35120.0,280640.0
1578,E01001602,Greenwich 031C,24,41.18,15.16,1187,25.7,74,8,30190.0,217500.0
1579,E01001603,Greenwich 031D,15,42.62,16.35,1038,21.0,79,8,29660.0,200667.0
1580,E01001604,Greenwich 027A,12,30.0,14.58,964,23.7,60,2,29920.0,321167.0
1581,E01001605,Greenwich 023A,19,35.46,17.53,1032,66.1,24,1,29470.0,268417.0
1582,E01001606,Greenwich 023B,9,37.35,12.26,1109,21.1,78,3,31950.0,255000.0
1583,E01001607,Greenwich 027B,10,32.57,17.15,989,21.1,73,4,31260.0,259000.0
1584,E01001608,Greenwich 027C,17,23.1,21.59,860,47.2,30,1,50110.0,455167.0
1585,E01001609,Greenwich 027D,14,16.0,19.48,1052,33.6,49,3,43200.0,255833.0
1586,E01001610,Greenwich 023C,19,32.88,16.49,1102,22.1,77,4,44580.0,237250.0
1587,E01001611,Greenwich 023D,4,30.36,19.34,1043,20.1,83,3,49080.0,233667.0
1588,E01001613,Greenwich 028A,15,21.6,20.37,1001,73.1,22,3,51610.0,205167.0
1589,E01001614,Greenwich 028B,17,35.5,23.43,892,88.6,16,2,47270.0,378667.0
1590,E01001615,Greenwich 028C,40,23.27,17.51,1043,95.5,16,3,42690.0,180667.0
1591,E01001617,Greenwich 028D,15,23.32,25.13,927,69.4,22,2,46470.0,219583.0
1592,E01001618,Greenwich 030C,12,38.65,16.55,1013,34.8,47,7,33940.0,236667.0
1593,E01001619,Greenwich 030D,18,33.98,13.06,1228,32.2,57,4,34440.0,224167.0
1594,E01001620,Greenwich 025A,11,21.68,11.78,1038,26.1,61,7,40730.0,222833.0
1595,E01001621,Greenwich 025B,12,23.36,13.58,1030,36.7,42,6,32290.0,200992.0
1596,E01001623,Greenwich 025C,16,35.02,9.56,1200,27.7,63,7,42900.0,222667.0
1597,E01001624,Greenwich 025D,5,33.94,15.14,1021,22.4,69,4,44540.0,231917.0
1598,E01001625,Greenwich 025E,19,29.42,13.5,1038,27.0,59,8,35130.0,193250.0
1599,E01001629,Greenwich 009A,14,17.44,7.18,1503,20.6,108,10,33790.0,170167.0
1600,E01001631,Greenwich 007B,17,13.06,5.85,1394,19.7,108,12,41610.0,154667.0
1601,E01001632,Greenwich 007C,11,10.72,5.26,1784,12.1,196,7,39000.0,181250.0
1602,E01001633,Greenwich 009B,13,18.29,6.89,1100,11.5,140,10,39380.0,192250.0
1603,E01001634,Greenwich 009C,7,16.14,10.38,1085,11.6,150,12,38460.0,169000.0
1604,E01001635,Greenwich 007D,10,9.82,6.11,1262,21.1,81,6,39250.0,188332.0
1605,E01001636,Greenwich 007E,12,10.34,9.21,1294,12.5,144,5,40700.0,190517.0
